running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
128                    34.01
256                    34.58
512                    39.06
1024                   43.20
2048                   51.21
4096                   53.93
8192                   55.47
16384                  68.18
32768                  96.35
65536                 108.44
131072                162.18
262144                249.92
524288                560.02
1048576              1027.50
 
running circ_rs_ag w/ n=16 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.67
8                      27.19
16                     30.34
32                     31.47
64                     34.41
128                    34.57
256                    34.69
512                    36.84
1024                   44.04
2048                   48.76
4096                   54.89
8192                   54.97
16384                  75.37
32768                  81.39
65536                 100.01
131072                134.78
262144                176.27
524288                238.95
1048576               347.05
 
running ring w/ n=16 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1998.77
8                    2030.01
16                   2019.21
32                   2022.75
64                   2036.02
128                  2078.67
256                  2150.04
512                  2293.36
1024                 2548.67
2048                 2996.07
4096                 2992.15
8192                 3333.07
16384                3328.86
